date,dayofyear,active.calories,steps,weight,steps.lag,calorie.lag
1/16/2017,16,745.2,15.88,170.9,16.81,1196
1/17/2017,17,1236.6,20.01,169.9,15.88,745.2
1/18/2017,18,1149.6,17.7,171.8,20.01,1236.6
1/19/2017,19,1169.6,17.34,171.1,17.7,1149.6
1/20/2017,20,1194.5,18.68,168.5,17.34,1169.6
1/21/2017,21,1177.6,22.91,169.7,18.68,1194.5
1/22/2017,22,1074.7,17.1,171.2,22.91,1177.6
1/23/2017,23,829.8,14.82,172.4,17.1,1074.7
1/24/2017,24,1168.2,17.34,171.5,14.82,829.8
1/25/2017,25,1416.3,20.21,170.7,17.34,1168.2
1/26/2017,26,1150.7,16.32,168.9,20.21,1416.3
1/27/2017,27,1161.6,17.13,168.7,16.32,1150.7
1/28/2017,28,1005.6,19.77,166.7,17.13,1161.6
1/29/2017,29,770.1,14.66,165.7,19.77,1005.6
1/30/2017,30,1175.3,17.33,166.3,14.66,770.1
1/31/2017,31,1116.4,18.24,167.3,17.33,1175.3
2/1/2017,32,1134.6,17.41,167.9,18.24,1116.4
2/2/2017,33,634.7,11.37,164.8,17.41,1134.6
2/3/2017,34,1135.4,16.5,169,11.37,634.7
2/4/2017,35,1217.1,18.87,167.4,16.5,1135.4
2/5/2017,36,860.2,17.48,168.2,18.87,1217.1
2/6/2017,37,625.3,12.41,165.9,17.48,860.2
2/7/2017,38,1090.6,16.58,166.3,12.41,625.3
2/8/2017,39,1073.8,15.69,167,16.58,1090.6
2/9/2017,40,746.4,11.68,164.3,15.69,1073.8
2/10/2017,41,534.5,11.54,165.2,11.68,746.4
2/11/2017,42,323.2,5.6,164.6,11.54,534.5
2/12/2017,43,412.1,8.32,164.3,5.6,323.2
2/13/2017,44,1314,16.67,164.5,8.32,412.1
2/14/2017,45,1165.7,17.14,164.7,16.67,1314
2/15/2017,46,1140.8,17.75,163.6,17.14,1165.7
2/16/2017,47,1076.8,15.49,163.9,17.75,1140.8
2/17/2017,48,1133.3,17.79,163.5,15.49,1076.8
2/18/2017,49,1084.6,17.02,163.3,17.79,1133.3
2/19/2017,50,434.3,9.97,161.4,17.02,1084.6
2/20/2017,51,792.2,15.9,162.2,9.97,434.3
2/21/2017,52,1097.1,16.05,161.8,15.9,792.2
2/22/2017,53,516.9,9.08,162.2,16.05,1097.1
